NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
"APS DIAMANTINA,""PÇA DR PRADO, 171"",DIAMANTINA,MG,,,-18.245613,-43.594757"
APS CONCEIÇÃO DO MATO DENTRO,AVENIDA RIO BRANCO Nº 118,CONCEIÇÃO DO MATO DENTRO,MG,,,-19.0357363,-43.4247512
"APS GUANHÃES,""PÇ NÉRIA COELHO GUIMARÃES, 179"",GUANHÃES,MG,,,-18.7765863,-42.9339358"
"APS MINAS NOVAS,""AV. DELFIM MOREIRA, 156 A"",MINAS NOVAS,MG,,,-17.2197535,-42.5897292"
"APS CAPELINHA,""RUA GETÚLIO VARGAS, 300"",CAPELINHA,MG,,,-17.6941218,-42.51743159999999"
APS TRÊS MARIAS,RUA MINAS GERAIS 289,TRÊS MARIAS,MG,,,-18.2057432,-45.2244557
"APS SERRO,""RUA ALFERES LUIZ PINTO, 25-A"",SERRO,MG,,,-18.603648,-43.380901"
"APS ITAMARANDIBA,""TRAVESSA TIRADENTES, 25"",ITAMARANDIBA,MG,,,-17.8558276,-42.857772"
"APS ALMENARA,""AV. OLINDO DE MIRANDA, 1.060"",ALMENARA,MG,,,,"
"APS MEDINA,""RUA 1° DE JANEIRO, 120"",MEDINA,MG,,,-16.2225237,-41.4795038"
"APS NANUQUE,""RUA ARTHUR FELIPE DOS SANTOS, 164"",NANUQUE,MG,,,-17.8355751,-40.3493126"
APS PEDRA AZUL,AVENIDA DOUTOR ANTERO LUCENA RUAS,PEDRA AZUL,MG,,,-15.9977417,-41.2798243
"APS TEÓFILO OTONI,""RUA JOSÉ DE SOUZA NEVES, 75"",TEÓFILO OTONI,MG,,,-17.8739768,-41.508318"
"APS ARACUAÍ,""AVENIDA DR NUNO MELO 289,"",ARACUAÍ,MG,,,-16.8530619,-42.0675007"
"APS ÁGUAS FORMOSAS,""RUA ALVIM COUTO, 114"",ÁGUAS FORMOSAS,MG,,,-17.0818345,-40.9320221"
"APS JEQUITINHONHA,""RUA BENTO V, 620 - BAIRRO VATICANO"",JEQUITINHONHA,MG,,,,"
"APS ITAMBACURI,""AVENIDA FREI ARCANGELO 1370,"",ITAMBACURI,MG,,,-18.0320804,-41.6722428"
APS ITAOBIM,RUA SÃO PAULO 545,ITAOBIM,MG,,,-16.5585736,-41.5025529
APS CARLOS CHAGAS,RUA JOSÉ MIGUEL BRANDÃO,CARLOS CHAGAS,MG,,,-17.7101597,-40.7596213
APS CARAÍ,RUA BOAVENTURA FIGUEIREDO FONSECA,CARAÍ,MG,,,-19.3107331,-46.0488341
